YEAR,NIVIDIA  INDEX,Microsoft INDEX, Apple INDEX,Alphabet INDEX,Amazon INDEX,GOOGLE INDEX,Meta INDEX,Broadcom  INEDX,Saudi Aramco INDEX,Tesla INDEX,TSMC INDEX
2025,451875,3823.55899808872,145807.692307692,830.041724617524,162708.333333333,830.041724617524,2958.50490972442,36720.9302325581,96.0106382978724,54960.3174603175,2776.2539184953
2024,349479.166666667,3218.99205311337,148576.923076923,657.858136300417,163333.333333333,657.858136300417,2397.84605638264,26348.8372093023,113.457446808511,31344.8412698413,2047.41379310345
2023,127395.833333333,2810.58243637461,115153.846153846,488.456189151599,109027.777777778,488.456189151599,1440.63984795692,10721.1627906977,100.053191489362,15435.3174603175,1056.7789968652
2022,37935.4166666667,1797.6058746605,79461.5384615385,318.497913769124,59509.7222222222,318.497913769124,506.620209059233,5433.72093023256,101.489361702128,42103.1746031746,756.876959247649
2021,76590.625,2536.96811185997,111576.923076923,533.240611961057,117430.555555556,533.240611961057,1460.13620525816,6389.06976744186,109.202127659574,26543.6507936508,1128.3894984326
2020,33670.8333333333,1690.97676290112,86730.7692307692,329.624478442281,113472.222222222,329.624478442281,1232.54672157111,4141.16279069768,100,3004.36507936508,956.347962382445
2019,15000,1207.12201991751,49500,256.225312934631,63904.1666666667,256.225312934631,927.098511244853,2923.48837209302,0,2279.36507936508,561.461598746081
2018,8482.29166666667,784.991449552359,28695,201.265646731572,51212.5,201.265646731572,592.540386442826,2408.37209302326,0,2076.19047619048,374.58855799373
2017,12214.5833333333,663.816517452973,33110.7692307692,202.906815020862,39134.0277777778,202.906815020862,812.084257206209,2445.58139534884,0,1365.87301587302,390.693573667712
2016,5992.70833333333,486.027562619455,23421.5384615385,149.947148817802,24743.75,149.947148817802,525.166297117517,1640,0,1251.5873015873,285.462382445141
2015,1846.875,442.279448747611,22446.5384615385,146.915159944367,22106.9444444444,146.915159944367,469.749762432689,933.255813953488,0,1109.12698412698,214.811912225705
2014,1134.375,383.985514535761,24735.3846153846,100,10021.5277777778,100,343.25308837504,597.209302325582,0,734.52380952381,225.920846394984
2013,947.916666666667,312.342822653657,19259.2307692308,0,12711.1111111111,0,220.446626544188,306.046511627907,0,153.174603174603,179.055642633229
2012,797.916666666667,224.987425812293,19218.8461538462,0,7909.02777777778,0,100,180.697674418605,0,117.857142857143,170.121473354232
2011,881.25,219.676088924656,14519.6153846154,0,5465.97222222222,0,0,163.953488372093,0,100,127.958463949843
2010,931.25,235.911880092546,11426.5384615385,0,5637.5,0,0,159.53488372093,0,0,124.510188087774
2009,1079.16666666667,270.143848707374,7345.38461538462,0,4147.22222222222,0,0,100,0,0,102.292319749216
2008,451.041666666667,173.946283070114,2922.69230769231,0,1527.08333333333,0,0,0,0,0,79.3103448275862
2007,1968.75,334.081078362338,6693.46153846154,0,2675.69444444444,0,0,0,0,0,100
2006,1369.79166666667,293.672668745599,2806.92307692308,0,1134.02777777778,0,0,0,0,0,0
2005,651.041666666667,273.151594407001,2338.07692307692,0,1361.80555555556,0,0,0,0,0,0
2004,407.291666666667,292.435368675184,1001.92307692308,0,1259.72222222222,0,0,0,0,0,0
2003,260.416666666667,297.042551051202,303.076923076923,0,1473.61111111111,0,0,0,0,0,0
2002,125,278.271803641485,198.461538461538,0,508.333333333333,0,0,0,0,0,0
2001,670.833333333333,360.175032692888,296.538461538462,0,279.861111111111,0,0,0,0,0,0
2000,231.25,232.169801830802,197.307692307692,0,385.416666666667,0,0,0,0,0,0
1999,100,607.997183381954,637.307692307692,0,1824.30555555556,0,0,0,0,0,0
1998,0,350.165979277739,213.076923076923,0,1184.02777777778,0,0,0,0,0,0
1997,0,158.29393421185,64.6153846153846,0,100,0,0,0,0,0,0
1996,0,100,100,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0
